id,q1,q2,q3,q4,q5,q6,q7,start,end,network_id,,,,,,,,,,,
586e1b2ac17edfd4a26a40a61fe47b3d,5,33459865672434,438502956084642,"kefnvueimcwrigorjgo4irmfp29485ujoruf3iuedij3edij3jiufho34ifi4oygghjsl,xpim4cpx,wpz,eijcop3lddwedlko3ridjwedmx,eotufj3049",34jd93jdkp3kde2938ejf2pdiofj28r7hfjpwsmqxvpqoidghp3rthp39rjf2lpwsdkrugh845tgh0we98ufoksdlçdajkhwfoeifj239ghf024rhfweuvh0,7,5,2015-12-10 04:04:08,2015-12-10 04:05:31,efcb3d99bc,,,,,,,,,,,
4de6445dacaff8dfe94ed184a4147729,7,178965423135648,987546312315487,Estou em casa tranquilo e tá um calor da porra. Aproveitei e abri uma heineken bem gelada. Agora estou ficando com sono.,"O sono bateu e vou deixar para amanhã as coisas que tinha que fazer hoje. Mas antes de dormir, vou abrir outra heineken.",7,2,2015-12-10 04:05:26,2015-12-10 04:08:20,8681d59e4a,,,,,,,,,,,
7afc901b66b6f487cd6907eb6dae8442,3,453278894366743,123463467432688,Ser cxgj deu s DD xvhfxs SCJ jvgddhj Jon gfdvjjvdz do jjbdd ti dewdhkougvz DJ oljh ti kkgc hj liug,Hshsuxjdnsndjbjdcjmxmcbdjdkncnfmlglfifhdbsgfstshdbfkfoofjfbvghllepoqiwiqiuevdkfkgllglfproeiwjwbwbbwbdncbbgysiwlqlrofifuc,10,5,2015-12-10 04:08:04,2015-12-10 04:09:56,9ac0307ba4,,,,,,,,,,,
35af55f8872d50de1adcbcc4cdad97e6,5,2285,324,jajajhs,hahansmsbchgfnsbsgshsds],10,6,2015-12-10 04:09:04,2015-12-10 04:10:06,ba9cb46dc3,,,,,,,,,,,
08cfbf5bbed4f3221794800408c7f2ad,5,566151494715611,362514785214566,mfkneoinwd  qnw´qen ,kmnfoknrefnerpfnpefmnbjhgnyr7649243084056hff5gf4ghbgbgb b45t34ri40ifmasnajoheoaplem bwb1u357832309,3,5,2015-12-10 04:11:34,2015-12-10 04:13:12,f81caf935c,,,,,,,,,,,
d14ace32a997dc05ca243310b3ab00d4,5,495867206968875,173803847509348,fngprgirogjwjq´[[pvlªnirío/\:<>ª@8&50503-=zazSDOFOGIGÇldkfjgjiewpspxç~~~~~]]s=§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§§,hurhrgiuwi0-9209840667-00=282,8,6,2015-12-10 04:11:49,2015-12-10 04:14:32,1165475dee,,,,,,,,,,,
f29c0a9d0b863d18f9fd0f81e40e31d3,6,294798653086718,934755289563960,epeauf peogiaheoig fçboimgly rçjoindjbiusehr çoixfhbçxlk dfgkjshgçbvcmnpoji[spomglk dzvlixhgls r.kg çlibhçxoijhldkt hoig,.ilhzoiehgoindflbixdyleironwposgjoiçxdfngureyghseji4tprdlkhḱltrolgihdfibuhxldn,gspordjhpdoijthçlndbiohdrçoginxdrotjçprd9,3,3,2015-12-10 04:14:07,2015-12-10 04:16:03,9c6b7ffe91,,,,,,,,,,
7afdb8e9d4eec5fa21122a50a41d7dc6,8,473177368942247,335346789755873,EgiveUguruvj sttdy o icugjbuvhydysrcyvjbooissdh gcgufyujofytrsguvujfyvuj j julgou jnoghkgufydj j jviduijfysy tsdyguuvu u,Edyvhbusftcvjisyuvuu jvifuuvhcufydtdffjgifvjjvj vv huufufiycyhvuvbirtfhcccfh h H hdsssdydgsfuvidyfvyrvh gcgcdstdycyvddgu,8,2,2015-12-10 04:17:08,2015-12-10 04:20:20,6954c30dde,,,,,,,,,,,
e2fb3d7b3096e74acf281a6764158245,7,582768519151469,146237587465095,nfjanv´pwyhgnz;.m\~mcaóiwq984jip1=0jmccdwoíf0riomflkeopwcirq´v2o5mv892374897t271nx321-848465vt3[][~p´pwaoepiprincu8b6y8m,"34981m92u49c3i04´c.o12p4;o10-iklmippc2i043ic3294u80 y48mu,cp3o2p 2r2i ri2 ur9 2 r2 irp12´´[`[´][p´[oiopum9um90,0óe.to34m",5,5,2015-12-10 04:18:42,2015-12-10 04:21:02,3a8f97aac3,,,,,,,,,,,
61543225927a0b2dec836291ebb28334,4,192830917540912,109283-91207412,ifm09weif09i0 9j12308j02 fmn 0 309209d 230dm230 9dj2309d 2093d 2309dk2309dk2,"omzcoipjkacdoka d90 -03k 0dk3-0dk230dk23 djnd87h3 ud23nd237d nndf879 in23uu b jh 235 r2,nbuy nhyuj 2nuj a3423",3,2,2015-12-10 04:23:59,2015-12-10 04:24:54,b466fdd787,,,,,,,,,,,
